TIME,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,
Norte,"17,300",,"18,000",,"18,600",,"19,200",,"20,200",,"21,000",,"19,900",,"21,200",
Algarve,"21,000",,"21,900",,"23,400",,"25,000",,"26,300",,"27,600",,"22,900",,"24,700",
Centro (PT),"17,700",,"18,400",,"19,000",,"19,600",,"20,500",,"21,300",,"20,400",,"21,500",
Área Metropolitana de Lisboa,"27,800",,"28,400",,"28,900",,"29,700",,"30,800",,"32,000",,"29,400",,"31,100",
Alentejo,"18,700",,"20,200",,"20,400",,"21,400",,"21,900",,"22,400",,"20,900",,"22,900",
Região Autónoma dos Açores (PT),"18,500",,"19,100",,"19,700",,"20,100",,"20,900",,"21,800",,"20,200",,"21,300",
Região Autónoma da Madeira (PT),"20,000",,"20,600",,"21,300",,"22,400",,"23,100",,"23,800",,"20,600",,"22,500",
Extra-Regio NUTS 2,:,,:,,:,,:,,:,,:,,:,,:,
Nord-Vest,"13,000",,"13,600",,"14,900",,"17,300",,"18,400",,"20,200",,"20,500",,"22,600",p
Centru,"13,800",,"14,500",,"15,800",,"17,600",,"19,200",,"20,500",,"20,700",,"22,900",p
Nord-Est,"9,100",,"9,500",,"10,200",,"11,600",,"12,700",,"13,900",,"14,300",,"15,800",p
Sud-Est,"13,300",,"13,300",,"13,900",,"15,300",,"16,600",,"17,500",,"17,100",,"19,000",p
Sud - Muntenia,"12,600",,"12,400",,"13,300",,"14,300",,"15,700",,"16,500",,"16,400",,"18,400",p
Bucuresti - Ilfov,"33,900",,"37,100",,"38,800",,"42,900",,"45,400",,"50,000",,"50,100",,"53,900",p
Sud-Vest Oltenia,"10,600",,"11,300",,"12,000",,"13,800",,"15,500",,"17,000",,"16,800",,"18,700",p
Vest,"15,000",,"16,200",,"17,600",,"19,100",,"20,600",,"22,400",,"21,900",,"24,300",p
Extra-Regio NUTS 2,:,,:,,:,,:,,:,,:,,:,,:,
Vzhodna Slovenija,"18,400",,"18,900",,"19,500",,"20,700",,"21,800",,"23,000",,"22,100",,"23,900",
Zahodna Slovenija,"26,400",,"27,100",,"28,200",,"30,000",,"31,700",,"33,100",,"31,900",,"34,900",
Bratislavský kraj,"51,100",,"53,200",,"50,800",,"50,000",,"50,500",,"50,900",,"49,500",,"48,200",b
Západné Slovensko,"19,400",,"19,600",,"18,900",,"18,700",,"19,200",,"20,500",,"19,900",,"20,400",b
Stredné Slovensko,"16,400",,"17,300",,"16,400",,"16,400",,"17,000",,"17,900",,"17,100",,"18,600",b
Východné Slovensko,"14,400",,"15,200",,"14,300",,"14,800",,"15,300",,"15,500",,"15,400",,"16,400",b
Länsi-Suomi,"26,800",,"27,200",,"27,600",,"28,800",,"29,700",,"30,000",,"30,400",,"32,600",
